qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1sec,q2sec,q1_rank
305,32,7,5,14,17,1:46.389,\N,\N,106.38900000000001,NA,17
306,32,22,11,17,18,1:46.583,\N,\N,106.583,NA,18
307,32,16,10,20,19,1:47.940,\N,\N,107.94,NA,19
309,33,1,1,22,1,1:18.071,1:17.462,1:18.404,78.071,77.462,2
310,33,8,6,1,2,1:18.160,1:17.733,1:18.644,78.16,77.733,4
311,33,5,1,23,3,1:18.220,1:17.360,1:18.821,78.22,77.36,5
312,33,4,4,5,4,1:18.290,1:17.871,1:18.852,78.28999999999999,77.871,6
313,33,13,6,2,5,1:18.110,1:17.287,1:18.874,78.11,77.287,3
314,33,9,2,4,6,1:18.684,1:17.931,1:18.979,78.684,77.931,14
315,33,15,7,11,7,1:18.501,1:17.541,1:19.026,78.501,77.541,10
316,33,10,7,12,8,1:17.945,1:17.670,1:19.118,77.945,77.67,1
317,33,20,5,15,9,1:18.559,1:17.714,1:19.638,78.559,77.714,11
318,33,7,5,14,10,1:18.593,1:18.102,1:20.167,78.593,78.102,12
319,33,14,9,9,11,1:18.303,1:18.187,\N,78.303,78.187,8
320,33,12,4,6,12,1:18.300,1:18.274,\N,78.3,78.274,7
321,33,17,9,10,13,1:18.372,1:18.354,\N,78.372,78.354,9
322,33,6,3,8,14,1:18.640,1:18.594,\N,78.64,78.594,13
323,33,3,3,7,15,1:18.740,1:18.672,\N,78.74,78.672,15
324,33,2,2,3,16,1:18.835,\N,\N,78.83500000000001,NA,16
325,33,22,11,17,17,1:18.882,\N,\N,78.882,NA,17
326,33,18,11,16,18,1:19.100,\N,\N,79.1,NA,18
327,33,16,10,20,19,1:19.163,\N,\N,79.163,NA,19
328,33,21,10,21,20,1:19.910,\N,\N,79.91,NA,20
329,34,1,1,22,1,1:35.566,1:34.947,1:36.303,95.566,94.947,1
330,34,8,6,1,2,1:35.983,1:35.355,1:36.645,95.983,95.35499999999999,6
331,34,13,6,2,3,1:35.971,1:35.135,1:36.889,95.971,95.13499999999999,5
332,34,4,4,5,4,1:35.769,1:35.461,1:36.927,95.769,95.461,4
333,34,5,1,23,5,1:35.623,1:35.216,1:36.930,95.62299999999999,95.21600000000001,2
334,34,17,9,10,6,1:36.238,1:35.686,1:37.083,96.238,95.686,11
335,34,2,2,3,7,1:36.224,1:35.403,1:37.201,96.22399999999999,95.40299999999999,10
336,34,20,5,15,8,1:35.752,1:35.386,1:37.685,95.75200000000001,95.386,3
337,34,15,7,11,9,1:36.104,1:35.715,1:37.934,96.104,95.715,8
338,34,7,5,14,10,1:36.239,1:35.478,1:38.885,96.239,95.47800000000001,12
339,34,12,4,6,11,1:36.029,1:35.722,\N,96.029,95.72200000000001,7
340,34,9,2,4,12,1:36.503,1:35.814,\N,96.503,95.814,14
341,34,10,7,12,13,1:36.210,1:35.937,\N,96.21000000000001,95.937,9
342,34,22,11,17,14,1:36.640,1:36.079,\N,96.64,96.07900000000001,15
343,34,3,3,7,15,1:36.434,1:36.210,\N,96.434,96.21000000000001,13
344,34,14,9,9,16,1:36.731,\N,\N,96.731,NA,16
345,34,6,3,8,17,1:36.863,\N,\N,96.863,NA,17
346,34,18,11,16,18,1:37.053,\N,\N,97.053,NA,18
347,34,16,10,20,19,1:37.730,\N,\N,97.72999999999999,NA,19
348,34,21,10,21,20,1:37.739,\N,\N,97.739,NA,20
349,35,13,6,2,1,1:11.830,1:11.875,1:12.368,71.83,71.875,1
350,35,15,7,11,2,1:12.226,1:12.107,1:12.737,72.226,72.107,6
351,35,8,6,1,3,1:12.083,1:11.950,1:12.825,72.083,71.95,2
352,35,1,1,22,4,1:12.213,1:11.856,1:12.830,72.213,71.856,3
353,35,5,1,23,5,1:12.366,1:11.768,1:12.917,72.366,71.768,8
354,35,4,4,5,6,1:12.214,1:12.090,1:12.967,72.214,72.09,4
355,35,20,5,15,7,1:12.390,1:11.845,1:13.082,72.39,71.845,11
356,35,2,2,3,8,1:12.371,1:12.026,1:13.297,72.371,72.026,9
